Sentence,LearningStyle
he ate only the choicest foods and loved the fatty cut of tuna known as toro.,Auditory
"later at the pendleton home, the mother, cleopatra crowley-pendleton, spoke of a daughter who loved reading and writing and latin.",Auditory
"he was a deeply religious and holy man who was loved by the elderly people most of all, as he had a way with him that won over their deep sense of faith and warmth.",Auditory
"early in his career he had made the mistake, at the outset of his acquaintance with a lady, of telling her that he loved her and exacting the same avowal in return.",Auditory
i've always loved when girls carry their wallets as a clutch instead of a bag.,Auditory
she has always loved irish music and was still able to do the irish jigs.,Auditory
"apparently half the audience was shocked speechless, but hawking loved it.",Auditory
"spectators will also have the opportunity to get up close and personal with some of the most loved, and best presented classic racing cars in the world.",Auditory
"it was not commercial fiction, it was all serious fiction, but i loved it.",Auditory
"he adored her, she was the apple of his eye and she loved her dad.",Auditory
age plus adaptivity is what makes a building come to be loved.,Auditory
"a man of great manners, deep loyalty, and a common touch, david loved parties.",Auditory
"when the teenager was 14 or 15, the suit contends, goddard communicated that he loved john doe.",Auditory
whitman loved adhesiveness so because it is a friendly profusion.,Auditory
"hitchcock loved to tell stories, elaborate, complicated rough drafts for movies he would never make.",Auditory
"both conductors were interesting people, retired and loved railroading.",Auditory
"he was an accomplished card player and loved to meet the locals in garrafrauns, brickens, cloonfad, irishtown or wherever his rambles would take him.",Auditory
"she loved the way the lecturer stated it, offhand, but with the air of a pompatus.",Auditory
"she loved me, my parents, my friends, her catsitters, and even visiting cable repairmen and plumbers, in whose toolboxes she liked to nap.",Auditory
"we imagined that this was a ruse on his part, for his neck loved the yoke of groomdom.",Auditory
"loving dad of jacquie and gordon, much loved pop of lisa, calvin, gavin and alexin and great-grand-pop of olivia, bradley, max, joel and alaia.",Auditory
"despite the woodchopping and the 70-mile hikes with a blood-soaked shirt from the rucksack on my back, i loved it.",Auditory
"this guest of summer, the temple-haunting martlet, does approve by his loved mansionry that the heaven's breath smells wooingly here.",Auditory
"after all that, i found room for some cappuccino ice cream while erika loved her raspberry and amoretto crme brulee.",Auditory
"for god so loved the world that he gave his one and only son, that whoever believes in him shall not perish but have eternal life.",Auditory
"he adds, probably his letter would be propaled and made a bauchle of, and assures them he was never loved at court as a minister.",Auditory
the english potter and ceramist josiah wedgwood loved the meander.,Auditory
i had a listsib from the uk mail me a couple bottles once to try and i really loved it a lot.,Auditory
"each loved one that thou leavest here, some other love may wear, each heart will have some other heart its loneliness to share.",Auditory
"when i was young, i loved to dig and find and collect fossils.",Auditory
"i pray that our heavenly father may assuage the anguish of your bereavement, and leave you only the cherished memory of the loved and lost.",Auditory
"nothing beats visiting new places, recharging the batteries and spending quality time with the loved ones.",Auditory
"i loved saying lads... like i was a comrade... like i was one of them... me and the lads... alright lads, eh... italy, no problem.",Auditory
"i liked my very tall aspieish doctor, loved his deep monotone and astute attention to detail and naturally, his pragmatic advice.",Auditory
"partly because i loved milder forms of knifeplay but had never taken it as far as i'd fantasized, but mostly because of her.",Auditory
"he was his brother, mark says. it comes into his head how much faye loved songs. he had quite forgotten how much.",Auditory
"jack was a truck driver. he loved over-the-road trips. think he had a girl in every port, so to speak.",Auditory
"president franklin roosevelt loved camp pendleton, and decreed that the old ranch house... should be preserved for the ages.",Auditory
i loved him for nothing so much as his flocci-nauci-nihili-pili-fication of money.,Auditory
he loved to flabbergast his associates by announcing some startling new policy without consulting any of them.,Auditory
"nanak stated that the human guru is mortal and not divine, who is to be respected and loved but not worshipped.",Auditory
she loved to play cards and shocked devout protestants by playing on sundays.,Auditory
i have a feeling that this pie is the marmite of the school pie world. you either loved it or you hated it.,Auditory
"however, she is convinced that her two suitors are mocking her, as neither loved her originally.",Auditory
"in practice, however, she loved only percy shelley and seems to have ventured no further than flirting with hogg.",Auditory
he loved sussex to the point of idolatry as the place where he was brought up and as his spiritual home.,Auditory
"their marriage began to fall apart in 1901 when it occurred to russell, while he was cycling, that he no longer loved her.",Auditory
"above all, emily loved to wander about the wild landscape of the moors around haworth.",Auditory
"from all accounts, kipling loved the outdoors, not least of whose marvels in vermont was the turning of the leaves each fall.",Auditory
"it is an art which will never enjoy an appeal to the many, but one which will always be loved, and dearly loved, by the few.",Auditory
"the public loved the film, with lines stretching outside of cinemas as people had to wait for the next showing.",Auditory
to give the film added life is really cool for both those who missed it and those who really loved it.,Auditory
"the girls loved it, and alice liddell asked dodgson to write it down for her.",Auditory
she loved.. to watch the lovely shadows in the silent depths of the placid mere.,Auditory
don loved the minihamburgers even though they gave him horrible indigestion.,Auditory
mark lever of the national autistic society wants families fully involved in decisions about care decisions for their loved ones.,Auditory
"years later he came to regret not going to university, but at the time he loved his work as a journalist and felt passionately about his career.",Auditory
"he loved new york but felt the city was threatened by commercialism and vulgarity, and he no longer felt at home there.",Auditory
"the term used in the work kin is a recurring theme of emin's to describe those dear to her, her loved ones.",Auditory
"for over 60 years of itv, the homegrown programmes have become the best loved and remembered as well as being extremely successful.",Auditory
his affectionate disposition and genial manners made him much loved and held in warm regard by many of his contemporaries.,Auditory
"he loved practical jokes, and allegedly kept a halfpenny in his pocket to trick pickpockets.",Auditory
"characters are given to killing loved ones by mistake, and dying of grief, or of joy.",Auditory
"she was mixed race like me, a great student who'd been top of her class, who played piano and loved nina simone.",Auditory
"gildas was a subject of the mythical king arthur, whom he loved and desired to obey.",Auditory
"the narcissus or daffodil is the most loved of all english plants, and appears frequently in english literature.",Auditory
"john loved being with his sister, but from time to time he wished she had an on-off switch.",Auditory
the greeks believed that seals loved both the sea and sun and were considered to be under the protection of the gods poseidon and apollo.,Auditory
"the little boy put ooo at the end of his letter to grandma, to let her know he loved her.",Auditory
"the children loved the slide, and they went on it over and over until it got dark outside.",Auditory
"the abbey graveyard is also the final resting place of john smith, the former labour party leader, who loved iona.",Auditory
"she pounced on the young man, because she loved him and wanted him for herself.",Auditory
"my younger brother, brendan, mentioned that she loved her garden, spent pucks of time mucking around in it, even read books on the matter.",Auditory
"the infamous purple drank made me dizzy and sick, but i loved its aftertaste.",Auditory
"good at planning, he loved the common people and wished to save their labor.",Auditory
"uncle loved the desnsity of the tungsten he made, and its refractoriness, its great chemical stability.",Auditory
"potter attempts to reason with his daughter, but she tells him she wants to be loved and not simply marry someone because he can provide for her.",Auditory
"he won a classics scholarship to oxford university and, although he loved university life, he found the tuition dull.",Auditory
"benson, formerly a greatly loved master at eton, and by this time a don at magdalene college.",Auditory
it was a tearful and heartfelt reunion as the trapped miners finally saw their dear loved ones again.,Auditory
many believe in the spirit world and often try to stay in contact with their loved ones.,Auditory
"their relationship had weathered some rocky times, but they loved each other.",Auditory
tory bezazian was a veteran scientologist who loved going after church critics. until she met the darkest detractor of all.,Auditory
"shamy has become one of tv's most loved couples, and this season is crucial to the development of this relationship.",Auditory
"he kept always good clerks, he loved money, was smooth-tongued, gave good words, and seldom lost his temper.",Auditory
he was a laconic old soul who loved spacing only a jot better than he loved martian alky.,Auditory
"jason dons a screwed-up accent that madonna would be proud of. while martine, loved for being a cockney sparra, unfortunately goes posh.",Auditory
the routines at lochranza court suited her down to the ground and she loved her friends.,Auditory
i loved those red shoes but i couldn't thoil it in addition to the new dress i'd bought.,Auditory
throwback thursday is another way to integrate your loved one into your life online.,Auditory
"generally, by the time you are real, most of your hair has been loved off and your eyes drop out and you get loose in the joints and very shabby.",Auditory
"it set off a tsunami of debate among the more esoteric critics, who either loved it or hated it but could not ignore it.",Auditory
"i loved you. i was a pentapod monster, but i loved you. i was despicable and brutal, and turpid, and everything, mais je t'aimais, je t'aimais!",Auditory
"i loved this scene, because i secretly believed i was like andie.",Auditory
"dearly as he loved to talk, he could not enjoy nor shine in a conversation when he thought himself unsuitably dressed.",Auditory
"those she loved best had all parted from her, and she remained to battle for existence alone, with a crowd of unsympathizers round her.",Auditory
"she loved children, and in default of them she delighted in the poetic fiction of dreamchildren.",Auditory
"i had been feeling like a bowling-alley widow, but knew he loved the game, so i suggested we join a mixed league.",Auditory
"but when he created his own superheroes, the companies he once loved became his archenemies.",Auditory
"i took any means to get access to you. o speak to me, sophia! comfort my bleeding heart. sure no one ever loved, ever doated like me.",Auditory
they were hospitable and loved company we sat on a dhurrie under the open sky.,Auditory
there's no easy way to describe this episodic french film except to say it's an arthouse effort to be either loved or hated.,Auditory
"little is known of their domestic life, save that tacitus loved hunting and the outdoors.",Auditory
"he loved hummus, mutabol and baba ganoush, but his favourite was fatoush salad.",Auditory
the pair loved to take pictures in the decaying hospital on forty-third street.,Auditory
"i have lost the taste of joy, and the sight of youth and beauty recalls to my memory that treasure of both, my loved and lost arline.",Auditory
"since then, barrow has been periodically loved and hated by both sides.",Auditory
teacher jon warrener said the show was full of energy and parents who came to watch loved every minute.,Auditory
"his honesty, the warriorlike way he leads by example and his innate football ability meant his team mates loved him.",Auditory
"friends looked on the corpse of him they loved, and among the truest mourners was the unintentional amicide.",Auditory
"every month, andrew, and jennifer took oscar to ty hafan where he loved lying on a water bed and listening to stories.",Auditory
"when collins coaxed him back, the folk audience loved him even more.",Auditory
rod was my home slice. he and i rolled up scumbags together for two years in swat. i loved that guy.,Auditory
"he settled down to the cryptic in the independent. he loved his crossword. it kept him mentally active, just as gossip did his wife.",Auditory
she loved her hippietastic mom but wasn't quite sure she was ready to introduce her constance friends to her.,Auditory
"he knew i loved him like a big brother, and i knew the feeling was mutual.",Auditory
"he had loved too well to imagine himself a glorious racehorse, and now he was condemned to toil without honour like a costermonger's donkey.",Auditory
"dearly loved mam of derek and chris, mother in law of adry and a loving granny of amber and carl.",Auditory
"many valley sides are now a mass of bracken with scattered hawthorn, much loved by whinchats.",Auditory
i loved the pristine white water lilies looking exquisite in the sort of old zinc bath that grandfather washed his feet in.,Auditory
"how often, alas! did her eyes say unto me that they loved! and yet i, not looking for such a matter, had not my conceit open to understand them.",Auditory
"francis came to learn chivalry, dancing, and music and he loved archery, falconry, horseback riding, hunting, jousting, real tennis and wrestling.",Auditory
"despite this, turing continued to show remarkable ability in the studies he loved, solving advanced problems in 1927 without having studied even elementary calculus.",Auditory
"denis also told me to me pull my head in on the footy show, but that was never going to happen. i loved being the class clown on that show too much.",Auditory
"he didn't always explain what his words meant, but children can work them out because they often sound like a word they know, and he loved using onomatopoeia.",Auditory
it is our prayer that the manner in which we express our different views and deep disagreements will bear witness to jesus who calls us to love as he has loved us.,Auditory
"hughes loved hunting and fishing, swimming and picnicking with his family.",Auditory
"i must suppose, indeed, that he was fond of preaching sermons, and so am i, though i never heard it maintained that either of us loved to hear them.",Auditory
"should victor refuse his request, the creature also threatens to kill victor's remaining friends and loved ones and not stop until he completely ruins him.",Auditory
"wine loved i deeply, dice dearly, and in woman outparamoured the turk.",Auditory
she asked him if he loved her and he replied that he did not.,Auditory
he loved to waterski and snowski and was inevitably gifted at both.,Auditory
she loved inventing some rare illness and going to some famous kurort.,Auditory
"and it came to pass, when he had made an end of speaking unto saul, that the soul of jonathan was knit with the soul of david, and jonathan loved him as his own soul.",Auditory
"specially in west bengal, it is one of the most loved street foods.",Auditory
"i loved poetry in school, especially the rumpty-tumpty kind.",Auditory
he loved collecting beetles and bugs and assisting farmers in protecting their crops from such pests as the potato flea beetles and cotoneaster webworms.,Auditory
"she renewed contact with the rabbi and other orthodox patients in the hospital, went to all the religious services, and loved nothing so much as lighting the shabbas candles.",Auditory
"so we just phoned dave up and said 'look, come down, let's see how this works out', and everyone loved what we were doing, so we decided to stay with him.",Auditory
"once upon a time, there was a yeti who loved jellybeans and ballet.",Auditory
"my aunt especially loved the smaller fern houses, the ferneries.",Auditory
"small wonder if he had loved her for herself, she was so beautiful.",Auditory
"uncommon for such marriages of the period, the couple loved each other.",Auditory
"and it came to pass, when he had made an end to speaking unto saul, that the soul of jonathan was knit with the soul of david, and jonathan loved him as his own soul.",Auditory
sarah was an adventurist who loved sports and was an excellent swimmer.,Auditory
"through the starlet night, under the moon, they dreamed and loved.",Auditory
"so when he tried to talk, he studder an that made him upset even more, an then he just slowly told his grandma that he didn't know, but that he loved her.",Auditory
"i know he's writing about princess. jislaaik, he loved that chick.",Auditory
i've always been a bit of an adrenaline junky and i loved every second.,Auditory
"i replied, as i usually did whenever i had a chance, that nobody had ever loved anybody else as i loved dora. traddles came to my assistance with a confirmatory murmur.",Auditory
he asks the audience if they believe that they will be more loved by the gods if the city is in a state of faction than if they govern the city with good order and concord.,Auditory
many agreed that this was a disgraceful and disrespectful way to end a long running and much loved competition which had provided so many fine memories for generations.,Auditory
"in holy orders no one is better loved than he who lives chastely, because chastity is the first principle for any cleric as well as the foundation of his life.",Auditory
"llewellyn, a briton, was much loved and respected by the entire crew.",Auditory
"i spent so much time at home. i found myself becoming a tvaholic. i loved reruns and old movies. i fantasized a lot about being rich, beautiful, and of course, married.",Auditory
"demand for funeral celebrants has surged across ireland, as more and more families look to lay their loved ones to rest in non-religious ceremonies.",Auditory
"and now, having once loved, she will be slow to unlove again.",Auditory
the intention of the icrc was to provide the families of the prisoners with some hope and solace and to alleviate their uncertainties about the fate of their loved ones.,Auditory
"this instance belongs to the field of osphresiolagnia, the fetishistic-libidinal attachment to odors, especially those emanating from some part of the loved one's body.",Auditory
over the years bbc scotland made a number of well known and much loved radio and television programmes both for the bbc networks and for transmission in scotland only.,Auditory
the demand to be loved is the greatest of all arrogant presumptions.,Auditory
"i just grinded it out and played hard, and these fans loved that.",Auditory
"they were expert in weaving and dyeing, and loved bright colours.",Auditory
"john a gaunt loved him well, and betted much money on his head.",Auditory
they sent it back to the table and the bus driver absolutely loved it.,Auditory
"he who has loved quiet, who has so long shunned publicity, must school himself to be cheered and beclapped and huzzaed by thousands every time he lets himself be seen.",Auditory
"though not loved by his subjects, he was feared and respected.",Auditory
"we organized a knitting club, which she loved to do, and she discovered that a lot of the stuff in her apartment could be turned into artsy-craftsy projects.",Auditory
she loved tribbing and knew that this was going to be a great experience.,Auditory
"and hall, usually so merry, could outfoot them all when he once got started on the cosmic pathos of religion and the gibbering anthropomorphisms of those who loved not to die.",Auditory
"the great war poet wilfred owen was a resident, whilst his fellow poet mary webb much loved the town and referred to it many a time in her works under the guise of silverton.",Auditory
"you should have heard him speak of what he loved.... here was a piece of experience solidly and livingly built up in words, here was a story created.",Auditory
"the first relates the adventures of a knight who married the young duchess of calabria, niece of king meleager of sicily, but was loved by medea, the king's wife.",Auditory
i felt myself the protector of my loved one. she leaned against me.,Auditory
"it didn't matter that her spinal cord was severed or that she had been a wheelchair user for twenty years, she had walked into the arms of her loved one.",Auditory
speck disagreed with my assessment of the dream and my theory that dreams are easily analyzed and interpreted.,Visual
the dream quickly turned into a nightmare as poor reliability on the track and fierce internal squabbling made the team a laughing stock.,Visual
i dream of a place and a time where america will once again be seen as the last best hope of earth.,Visual
and we dread to think how much money was paid to consultants to dream up this nonsense.,Visual
the public still seems to have an abiding faith in the american dream of achieving affluence.,Visual
it's all about being allowed to fulfill the american dream to succeed no matter who you are.,Visual
"it was a unifying creed for diversity of belief and faith, for the american dream of achieving individual liberty.",Visual
how did the martinez family manage to achieve the american dream during a period when high taxes were supposedly thwarting that dream?,Visual
"it was a dream in which man cast off his atomic individuality, as the lycanthrope surrendered to the multiplicity of the wolf pack.",Visual
"i had a dream that the government changed all the traffic lights from red, amber, and green to just red and green.",Visual
"we all shared a wish, a hope, and a dream to bring back justice, freedom and most of all fun.",Visual
"maybe i'd be able to experience a lucid dream and explore the deeper, darker reaches of my mind.",Visual
i did have the dream that i might become some sort of alt-rock goddess in the states.,Visual
my head is swimming with dreams and schemes and the overwhelming desire to hop a bus or a train or a plane and make this dream happen.,Visual
climbing petrol prices have encouraged others to hang up their car keys and sit astride their dream machine for the morning journey to work.,Visual
"finally, i am able to bring you a new dream this morning, on a proud occasion for this website and my other web writings.",Visual
"maybe in that deep, dark recess of my soul, i just want to be able to dream again.",Visual
it seemed like a dream that i would soon be flying on a fantastic airliner.,Visual
"he played football but longed to be a kick-boxer, a dream that perished on the rock of short and stumpy legs.",Visual
this has been a dream for the past 28 years since i saw my first wind harp on a ridge in vermont.,Visual
now i have a dream that the primary school children of today might grow up in a nation that does not know wincers and eye rollers.,Visual
"for derricke's final image is actually an idea, his dream of the successful civilization of the wild irish.",Visual
you are the reapers of the dream envisioned by your parents and grandparents.,Visual
"then she applied to nehemiah, found a realtor, and went searching for her dream home.",Visual
"a dream wedding turned into a disaster after 24 guests went down with food poisoning, including the groom.",Visual
"the authorities, in all their wisdom, really ought to dream up a more appealing format, you feel.",Visual
"to date, broadband is rolling out faster in ireland than in any other country in europe, so perhaps this dream could become a reality.",Visual
but a york research team is at the forefront of a project which aims to make this previously far-fetched dream a reality.,Visual
lia shivered at the chill in the air and at the fact that her dream might become a reality.,Visual
thomas watson's dream became a reality when he bestowed a magnificent gift on the town by giving howard house to be site for the new hospital.,Visual
"from the age of six, when he first picked up a guitar he dreamed of being a star, and now that dream could well be realised.",Visual
she was finally realizing her biggest dream and she couldn't give it all up for a stupid guy.,Visual
a mitchell woman's dream will be realized on july 6 when the first soup kitchen opens in steinbach.,Visual
it had also pepped up his spirits to realise a higher dream like participating in an international event.,Visual
"in the first chapter, gutfeld asks if the european dream of enlightenment was realized in america.",Visual
he died before their dream could be realised but not before he became the largest single owner of the cars in the world.,Visual
"for john cooper, russell ward and joe dixon, the dream had finally been realised.",Visual
the realization of roy's dream would have occurred through his presentation of the music to a sophisticated european or american audience.,Visual
the realisation of a life-long dream was sealed with a kiss for the new president-elect at the weekend.,Visual
this was the realisation of a dream to produce objects that looked good and did the job they were designed to do.,Visual
"so aggro my random thoughts turn to incomprehensible, violent acts i would not dream to act on.",Visual
it's almost like i've been having an extremely realistic dream of rolling over and readjusting my pillow a lot.,Visual
how will adults recognize the importance of objects kids value and dream about?,Visual
he readily admits that it is a dream job for someone who has been passionate about cars since boyhood.,Visual
"she is a sentimental person who would not dream of parting with diaries, photos, ornaments and keepsakes.",Visual
"he kept his own counsel, did not appear to let the speculation affect him in any way and, ultimately, secured his dream move to liverpool.",Visual
"but despite the pressure, the young norwegian kept his head and battled through the bad times to realize his dream and win his first world title.",Visual
"the blue, blue sea, specked with whitecaps, the dramatic, green-clad peaks, and the colorful beachside villages look like a dream come true.",Visual
"the birds were singing and even the soft breeze whispered in his ears, all helping to make the discomforting dream fade away.",Visual
her mind was whirling with what a sight that would be when his coughing brought her back to reality and out of dream land.,Visual
they dream of a return to that now vanished golden era when a northern stand-up comedian with a trade-mark whine for a voice led the party.,Visual
"there are ballads, blues and western swing, and burch describes it as music you might hear in a dream and try in vain to remember in the morning.",Visual
tonight i read of rugged newfoundland coastlines and dream of fog-drenched villages and rainswept fishing boats.,Visual
"the children were able to dip into various craft activities, such as making didgeridoos, rain sticks, dream catchers and drums.",Visual
"i didn't want to rain on his parade, so i kept my mouth shut about my frustrated dream of becoming a marine biologist.",Visual
"as time dragged on, they realised that they weren't going to find their dream home.",Visual
he was almost last out of traps but hugging the rails enjoyed a dream run up the inside to lead at the turn.,Visual
shes a whisper was last out of traps on the inside but enjoyed a dream run up the rails which left her clear at the turn.,Visual
i could say that the effect of the dream was to leave me feeling limp and ragged all day since.,Visual
"with no flights available due to overbooking and the official weigh-in only six hours away, her dream of competing was again in jeopardy.",Visual
"my writing style was a lot more fluid and readable in the dream too, shame i don't remember any of the actual words.",Visual
i've done quite a number of roles which would be dream roles for other actresses.,Visual
"a jink, a change of pace and it was to the endline to hammer across balls the sort great headers dream of.",Visual
"though born and brought up in a conservative sikh family in norway, she always had a dream of acting in a bollywood film.",Visual
"for there are many such people who would never dream of obtaining money and wealth either at the expense of others, or by ill-gotten gains.",Visual
"today's photo is a dream of nearly all anglers, to catch two jewfish this size.",Visual
"a trip to a caribbean island may be a favorite prize for a tv quiz show, but it has never been my dream of a holiday.",Visual
"cottonseeds treated with this would yield 20 quintals per acre, a quantity farmers do not dream of even with the best of the bt-cotton seeds.",Visual
to the bitter end he kept waving under her nose a brochure of their dream house across town.,Visual
"this is all about me baby, and my dream of accumulating a vast fortune by exploiting the stupidity of the reading audience.",Visual
"the victorians had a dream that whitby could match the gilded splendour of harrogate, and the thermal spring waters of bath.",Visual
"exhibition of serious cinema, not only assamese but in other indian languages as well, is like a dream here.",Visual
i dream of travelling to the countries that are washed by the mediterranean sea.,Visual
it will be a dream come true for all those who can't think past flowers to score with their girlfriends.,Visual
but i couldn't imagine any of these bad dream poems having a salutary effect on the peace gathering.,Visual
"he fulfilled a dream chased by many wannabee parents, taking the opportunity to drive his wife and child home from hospital.",Visual
"want to make your dream girl or dream boy, the one who will not give you the time of day, fall head over heels in love with you?",Visual
"there's the tangled web and fatalism of cocteau's standard storyline, but the movie lacks the waking dream state of cocteau's movies.",Visual
"however, i should have been able to shake my dream mood from my waking mood.",Visual
how can utopians dream of changing the world when it is so difficult to lose an inch off one's waistline?,Visual
"he has one of those narrow, washboard waists that most of us can only dream about.",Visual
"just then, this fire truck comes barrelling up in the rear view mirror full speed, sirens and lights ablaze and the dream ends.",Visual
she had just rolled over and began to dream of something else when she heard the sharp sound of breaking glass.,Visual
he looked on and watched as the same girl in his dream climbed into his room through the window.,Visual
i tear at the paper with a vengeance to reveal that my dream had come true also.,Visual
the twentieth century was scarred by the nightmare of hitler's dream for the aryan race.,Visual
"read your glossy magazines and dream away the long, lonely hours with thoughts of when your chance might come.",Visual
